Berzo San Fermo comune,Berzo San Fermo comune.1
,
Berzo San Fermo – VedutaBerzo e i colli di San Fermo sullo sfondo,Berzo San Fermo – VedutaBerzo e i colli di San Fermo sullo sfondo
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Luciano Trapletti (lista civica Oltre il 2000) dall'8-6-2009
Territorio,Territorio
Coordinate,45°43′09″N 9°54′10″E
Altitudine,365 m s.l.m.
Superficie,"5,86 km²"
Abitanti,1 448[1] (30-11-2025)
Densità,"247,1 ab./km²"
Frazioni,nessuna[2]
Comuni confinanti,"Adrara San Martino, Borgo di Terzo, Entratico, Foresto Sparso, Grone, Vigano San Martino"
Altre informazioni,Altre informazioni
Cod. postale,24060
Prefisso,035
Fuso orario,UTC+1
Codice ISTAT,016025
Cod. catastale,A815
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 497 GG[4]"
Nome abitanti,berzesi
Patrono,santi Fermo e Rustico
Giorno festivo,9 agosto
Cartografia,Cartografia
Berzo San Fermo,Berzo San Fermo
"Berzo San Fermo – MappaPosizione del comune di Berzo San Fermo nella provincia di Bergamo, in Lombardia.","Berzo San Fermo – MappaPosizione del comune di Berzo San Fermo nella provincia di Bergamo, in Lombardia."
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
