Mapello comune,Mapello comune.1
,
Mapello – VedutaVeduta con la parrocchiale di San Michele,Mapello – VedutaVeduta con la parrocchiale di San Michele
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Alessandra Locatelli (lista civica di centro-destra Cambia Mapello) dal 10-6-2018 (2º mandato dal 15-5-2023)
Territorio,Territorio
Coordinate,45°42′32″N 9°32′52″E
Altitudine,250 m s.l.m.
Superficie,"8,66 km²"
Abitanti,7 038[1] (30-11-2025)
Densità,"812,7 ab./km²"
Frazioni,"Baracche, Cabergnino, Carvisi, Piana, Prezzate, Valtrighe, Volpera[2]"
Comuni confinanti,"Ambivere, Barzana, Bonate Sopra, Brembate di Sopra, Palazzago, Ponte San Pietro, Presezzo, Sotto il Monte Giovanni XXIII, Terno d'Isola"
Altre informazioni,Altre informazioni
Cod. postale,24030
Prefisso,035
Fuso orario,UTC+1
Codice ISTAT,016132
Cod. catastale,E901
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 425 GG[4]"
Nome abitanti,mapellesi
Patrono,san Michele
Giorno festivo,29 settembre
Cartografia,Cartografia
Mapello,Mapello
Mapello – MappaPosizione del comune di Mapello nella provincia di Bergamo,Mapello – MappaPosizione del comune di Mapello nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
