Casirate d'Adda comune,Casirate d'Adda comune.1
,
Casirate d'Adda – VedutaLa parrocchiale dell’Immacolata,Casirate d'Adda – VedutaLa parrocchiale dell’Immacolata
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,"Mario Donadoni (Casirate, un'idea in comune) dal 10-06-2024"
Territorio,Territorio
Coordinate,45°30′N 9°34′E
Altitudine,114 m s.l.m.
Superficie,"10,17 km²"
Abitanti,4 133[1] (30-11-2025)
Densità,"406,39 ab./km²"
Frazioni,nessuna[2]
Comuni confinanti,"Arzago d'Adda, Calvenzano, Cassano d'Adda (MI), Rivolta d'Adda (CR), Treviglio"
Altre informazioni,Altre informazioni
Cod. postale,24040
Prefisso,0363
Fuso orario,UTC+1
Codice ISTAT,016059
Cod. catastale,B971
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 383 GG[4]"
Nome abitanti,casiratesi
Patrono,san Marco
Giorno festivo,25 aprile
Cartografia,Cartografia
Casirate d'Adda,Casirate d'Adda
Casirate d'Adda – MappaPosizione del comune di Casirate d'Adda nella provincia di Bergamo,Casirate d'Adda – MappaPosizione del comune di Casirate d'Adda nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
