Bonate Sotto comune,Bonate Sotto comune.1
,
Bonate Sotto – VedutaLa parrocchiale del Sacro Cuore,Bonate Sotto – VedutaLa parrocchiale del Sacro Cuore
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Carlo Previtali (lista civica) dal 25-5-2014
Territorio,Territorio
Coordinate,45°40′00″N 9°33′41″E
Altitudine,215 m s.l.m.
Superficie,"6,47 km²"
Abitanti,6 650[1] (30-11-2025)
Densità,"1 027,82 ab./km²"
Frazioni,nessuna[2]
Comuni confinanti,"Bonate Sopra, Chignolo d'Isola, Dalmine, Filago, Madone, Treviolo"
Altre informazioni,Altre informazioni
Cod. postale,24040
Prefisso,035
Fuso orario,UTC+1
Codice ISTAT,016031
Cod. catastale,A962
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 375 GG[4]"
Nome abitanti,bonatesi
Patrono,san Sebastiano
Giorno festivo,20 gennaio
Cartografia,Cartografia
Bonate Sotto,Bonate Sotto
Bonate Sotto – MappaPosizione del comune di Bonate Sotto nella provincia di Bergamo,Bonate Sotto – MappaPosizione del comune di Bonate Sotto nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
