Arzago d'Adda comune,Arzago d'Adda comune.1
,
Arzago d'Adda – VedutaLa parrocchiale di San Lorenzo,Arzago d'Adda – VedutaLa parrocchiale di San Lorenzo
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Dennis Davide Piazza (lista civica) dal 12-6-2022
Territorio,Territorio
Coordinate,45°28′55″N 9°33′48″E
Altitudine,106 m s.l.m.
Superficie,"9,31 km²"
Abitanti,2 769[1] (30-11-2025)
Densità,"297,42 ab./km²"
Frazioni,nessuna[2]
Comuni confinanti,"Agnadello (CR), Calvenzano, Casirate d'Adda, Rivolta d'Adda (CR), Vailate (CR)"
Altre informazioni,Altre informazioni
Cod. postale,24040
Prefisso,0363
Fuso orario,UTC+1
Codice ISTAT,016013
Cod. catastale,A440
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 353 GG[4]"
Nome abitanti,arzaghesi
Patrono,san Lorenzo
Giorno festivo,10 agosto
Cartografia,Cartografia
Arzago d'Adda,Arzago d'Adda
Arzago d'Adda – MappaPosizione del comune di Arzago d'Adda nella provincia di Bergamo,Arzago d'Adda – MappaPosizione del comune di Arzago d'Adda nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
