Isola di Fondra comune,Isola di Fondra comune.1
,
Isola di Fondra – VedutaVeduta di Fondra,Isola di Fondra – VedutaVeduta di Fondra
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Capoluogo,Trabuchello
Sindaco,Carletto Forchini (lista civica Comune bene comune) dal 27-5-2019
Territorio,Territorio
Coordinate del capoluogo,45°59′N 9°45′E
Altitudine,799 m s.l.m.
Superficie,"12,83 km²"
Abitanti,171[1] (30-11-2025)
Densità,"13,33 ab./km²"
Frazioni,"Trabuchello (sede comunale), Fondra, Cornelli, Foppa, Frage, Isola, Piazzola, Pusdosso, Via Piana[2]"
Comuni confinanti,"Branzi, Moio de' Calvi, Piazzatorre, Roncobello"
Altre informazioni,Altre informazioni
Cod. postale,24010
Prefisso,0345
Fuso orario,UTC+1
Codice ISTAT,016121
Cod. catastale,E353
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona F, 3 204 GG[4]"
Nome abitanti,trabuchellesi
Patrono,san Lorenzo
Giorno festivo,10 agosto
Cartografia,Cartografia
Trabuchello,Trabuchello
Isola di Fondra – MappaPosizione del comune di Isola di Fondra nella provincia di Bergamo,Isola di Fondra – MappaPosizione del comune di Isola di Fondra nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
