Sovere comune,Sovere comune.1
,
Sovere – VedutaPanorama,Sovere – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Federica Cadei (lista civica Sovere Futura) dal 13-6-2022
Territorio,Territorio
Coordinate,45°49′N 10°02′E
Altitudine,375 m s.l.m.
Superficie,"18,02 km²"
Abitanti,5 319[1] (30-11-2025)
Densità,"295,17 ab./km²"
Frazioni,"Piazza, Sellere[2]"
Comuni confinanti,"Bossico, Cerete, Endine Gaiano, Gandino, Lovere, Pianico, Solto Collina"
Altre informazioni,Altre informazioni
Cod. postale,24060
Prefisso,035
Fuso orario,UTC+1
Codice ISTAT,016204
Cod. catastale,I873
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 608 GG[4]"
Nome abitanti,soveresi
Patrono,san Martino di Tours
Giorno festivo,11 novembre
Cartografia,Cartografia
Sovere,Sovere
Sovere – MappaPosizione del comune di Sovere nella provincia di Bergamo,Sovere – MappaPosizione del comune di Sovere nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
