Castel Rozzone comune,Castel Rozzone comune.1
,
Castel Rozzone – VedutaLa parrocchiale di San Bernardo,Castel Rozzone – VedutaLa parrocchiale di San Bernardo
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Luigi Giovanni Rozzoni (lista civica) dal 26-5-2019
Territorio,Territorio
Coordinate,45°33′09.81″N 9°37′09.74″E
Altitudine,140[1] m s.l.m.
Superficie,"1,71 km²"
Abitanti,2 852[2] (30-11-2025)
Densità,"1 667,84 ab./km²"
Frazioni,nessuna[3]
Comuni confinanti,"Arcene, Brignano Gera d'Adda, Lurano, Treviglio"
Altre informazioni,Altre informazioni
Cod. postale,24040
Prefisso,0363
Fuso orario,UTC+1
Codice ISTAT,016063
Cod. catastale,C255
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[4]
Cl. climatica,"zona E, 2 383 GG[5]"
Nome abitanti,castelrozzonesi
Patrono,san Bernardo di Chiaravalle
Giorno festivo,20 agosto
Cartografia,Cartografia
Castel Rozzone,Castel Rozzone
Castel Rozzone – MappaPosizione del comune di Castel Rozzone nella provincia di Bergamo,Castel Rozzone – MappaPosizione del comune di Castel Rozzone nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
