Cassiglio comune,Cassiglio comune.1
,
Cassiglio – VedutaVeduta,Cassiglio – VedutaVeduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Silvia Lodedo (lista civica Stella alpina) dal 26-5-2019
Territorio,Territorio
Coordinate,45°58′00″N 9°36′44″E
Altitudine,602 m s.l.m.
Superficie,"13,68 km²"
Abitanti,105[1] (30-11-2025)
Densità,"7,68 ab./km²"
Frazioni,nessuna[2]
Comuni confinanti,"Camerata Cornello, Cusio, Olmo al Brembo, Ornica, Piazza Brembana, Santa Brigida, Taleggio, Valtorta, Vedeseta"
Altre informazioni,Altre informazioni
Cod. postale,24010
Prefisso,0345
Fuso orario,UTC+1
Codice ISTAT,016061
Cod. catastale,C007
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 924 GG[4]"
Nome abitanti,Cassigliesi
Patrono,san Bartolomeo
Giorno festivo,24 agosto
Cartografia,Cartografia
Cassiglio,Cassiglio
Cassiglio – MappaPosizione del comune di Cassiglio nella provincia di Bergamo,Cassiglio – MappaPosizione del comune di Cassiglio nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
