Bonate Sopra comune,Bonate Sopra comune.1
,
Bonate Sopra – VedutaLa parrocchiale dell’Assunta,Bonate Sopra – VedutaLa parrocchiale dell’Assunta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Matteo Rossi (lista civica di centro-sinistra) dal 9-6-2024
Territorio,Territorio
Coordinate,45°40′55″N 9°33′31″E
Altitudine,230 m s.l.m.
Superficie,"6,15 km²"
Abitanti,10 674[1] (30-11-2025)
Densità,"1 735,61 ab./km²"
Frazioni,Ghiaie[2]
Comuni confinanti,"Bonate Sotto, Chignolo d'Isola, Curno, Mapello, Ponte San Pietro, Presezzo, Terno d'Isola, Treviolo"
Altre informazioni,Altre informazioni
Cod. postale,24040
Prefisso,035
Fuso orario,UTC+1
Codice ISTAT,016030
Cod. catastale,A963
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 396 GG[4]"
Nome abitanti,bonatesi
Patrono,santa Maria Assunta
Giorno festivo,15 agosto
Cartografia,Cartografia
Bonate Sopra,Bonate Sopra
Bonate Sopra – MappaPosizione del comune di Bonate Sopra nella provincia di Bergamo,Bonate Sopra – MappaPosizione del comune di Bonate Sopra nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
