Fornovo San Giovanni comune,Fornovo San Giovanni comune.1
,
Fornovo San Giovanni – VedutaLa parrocchiale di San Giovanni Battista,Fornovo San Giovanni – VedutaLa parrocchiale di San Giovanni Battista
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Fabio Carminati (lista civica Insieme per Fornovo) dal 2022
Territorio,Territorio
Coordinate,45°29′48.48″N 9°40′38.28″E
Altitudine,109 m s.l.m.
Superficie,"7,04 km²"
Abitanti,3 418[1] (30-11-2025)
Densità,"485,51 ab./km²"
Frazioni,nessuna[2]
Comuni confinanti,"Bariano, Caravaggio, Fara Olivana con Sola, Mozzanica, Romano di Lombardia"
Altre informazioni,Altre informazioni
Cod. postale,24040
Prefisso,0363
Fuso orario,UTC+1
Codice ISTAT,016105
Cod. catastale,D727
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 404 GG[4]"
Nome abitanti,fornovesi
Patrono,san Rocco
Giorno festivo,16 agosto
Cartografia,Cartografia
Fornovo San Giovanni,Fornovo San Giovanni
Fornovo San Giovanni – MappaPosizione del comune di Fornovo San Giovanni nella provincia di Bergamo,Fornovo San Giovanni – MappaPosizione del comune di Fornovo San Giovanni nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
