Blello comune,Blello comune.1
,
Blello – VedutaVeduta,Blello – VedutaVeduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Capoluogo,Ghisalerio
Sindaco,Luigi Mazzucotelli (lista civica Blello Prima di Tutto) dal 12-6-2017 (2º mandato dal 13-6-2022)
Territorio,Territorio
Coordinate del capoluogo,45°50′N 9°35′E
Altitudine,815 m s.l.m.
Superficie,"2,2 km²"
Abitanti,71[1] (30-11-2025)
Densità,"32,27 ab./km²"
Frazioni,"Ghisalerio (sede comunale), Blello, Brevieno[2]"
Comuni confinanti,"Corna Imagna, Val Brembilla"
Altre informazioni,Altre informazioni
Cod. postale,24012
Prefisso,0345
Fuso orario,UTC+1
Codice ISTAT,016027
Cod. catastale,A903
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona F, 3 227 GG[4]"
Nome abitanti,blellesi
Patrono,Annunciazione
Giorno festivo,25 marzo
Cartografia,Cartografia
Ghisalerio,Ghisalerio
Blello – MappaPosizione del comune di Blello nella provincia di Bergamo,Blello – MappaPosizione del comune di Blello nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
