Palazzago comune,Palazzago comune.1
,
Palazzago – VedutaPanorama,Palazzago – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Andrea Bolognini (Lega Nord) dal 3-10-2021
Territorio,Territorio
Coordinate,45°45′07″N 9°32′07″E
Altitudine,407 m s.l.m.
Superficie,"13,98 km²"
Abitanti,4 595[1] (30-11-2025)
Densità,"328,68 ab./km²"
Frazioni,"Collepedrino, Burligo, Acqua, Pratomarone, Precornelli, Dusnale, Cà Quarengo, Al Borghetto, Verzella, Brocchione, Longoni, Montebello, Salvano, Secchia, Beita, San Sosimo, Gromlongo[2]"
Comuni confinanti,"Almenno San Bartolomeo, Ambivere, Barzana, Caprino Bergamasco, Mapello, Pontida, Roncola"
Altre informazioni,Altre informazioni
Cod. postale,24030
Prefisso,035
Fuso orario,UTC+1
Codice ISTAT,016156
Cod. catastale,G259
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 633 GG[4]"
Nome abitanti,palazzaghesi
Patrono,san Giovanni Battista
Giorno festivo,24 giugno
Cartografia,Cartografia
Palazzago,Palazzago
Palazzago – MappaPosizione del comune di Palazzago nella provincia di Bergamo,Palazzago – MappaPosizione del comune di Palazzago nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
