Bottanuco comune,Bottanuco comune.1
,
Bottanuco – VedutaLa parrocchiale di San Vittore,Bottanuco – VedutaLa parrocchiale di San Vittore
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Rossano Pirola (lista civica Comune aperto) dal 6-6-2016
Territorio,Territorio
Coordinate,45°38′23″N 9°30′23″E
Altitudine,222 m s.l.m.
Superficie,"5,77 km²"
Abitanti,5 081[1] (30-11-2025)
Densità,"880,59 ab./km²"
Frazioni,Cerro[2]
Comuni confinanti,"Capriate San Gervasio, Chignolo d'Isola, Cornate d'Adda (MB), Filago, Madone, Suisio, Trezzo sull'Adda (MI)"
Altre informazioni,Altre informazioni
Cod. postale,24040
Prefisso,035
Fuso orario,UTC+1
Codice ISTAT,016034
Cod. catastale,B088
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 495 GG[4]"
Nome abitanti,bottanuchesi
Patrono,san Vittore
Giorno festivo,8 maggio
Cartografia,Cartografia
Bottanuco,Bottanuco
Bottanuco – MappaPosizione del comune di Bottanuco nella provincia di Bergamo,Bottanuco – MappaPosizione del comune di Bottanuco nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
