Verdellino comune,Verdellino comune.1
,
Verdellino – VedutaIl santuario della Madonna dell'Olmo,Verdellino – VedutaIl santuario della Madonna dell'Olmo
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Silvano Zanoli (centro-destra) dal 6-6-2016
Territorio,Territorio
Coordinate,45°36′07″N 9°36′32″E
Altitudine,172 m s.l.m.
Superficie,"3,82 km²"
Abitanti,7 839[1] (30-11-2025)
Densità,"2 052,09 ab./km²"
Frazioni,nessuna[2]
Comuni confinanti,"Boltiere, Ciserano, Levate, Osio Sotto, Verdello"
Altre informazioni,Altre informazioni
Cod. postale,24040
Prefisso,035
Fuso orario,UTC+1
Codice ISTAT,016232
Cod. catastale,L752
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 340 GG[4]"
Nome abitanti,verdellinesi
Patrono,sant'Ambrogio
Giorno festivo,7 dicembre
Cartografia,Cartografia
Verdellino,Verdellino
Verdellino – MappaPosizione del comune di Verdellino nella provincia di Bergamo,Verdellino – MappaPosizione del comune di Verdellino nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
