Castione della Presolana comune,Castione della Presolana comune.1
,
Castione della Presolana – VedutaCastione vista da Dorga,Castione della Presolana – VedutaCastione vista da Dorga
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Capoluogo,Castione
Sindaco,Samantha Tagliaferri (lista civica Cambiamo Castione) dal 25-05-2025
Territorio,Territorio
Coordinate del capoluogo,45°54′N 10°02′E
Altitudine,870 m s.l.m.
Superficie,"42,5 km²"
Abitanti,3 382[1] (30-11-2025)
Densità,"79,58 ab./km²"
Frazioni,"Castione (sede comunale), Bratto, Dorga[2]"
Comuni confinanti,"Angolo Terme (BS), Colere, Fino del Monte, Onore, Rogno, Rovetta, Songavazzo"
Altre informazioni,Altre informazioni
Cod. postale,24020
Prefisso,0346
Fuso orario,UTC+1
Codice ISTAT,016064
Cod. catastale,C324
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona F, 3 305 GG[4]"
Nome abitanti,castionesi
Patrono,sant'Alessandro
Giorno festivo,26 agosto
Cartografia,Cartografia
Castione,Castione
Castione della Presolana – MappaPosizione del comune di Castione della Presolana nella provincia di Bergamo,Castione della Presolana – MappaPosizione del comune di Castione della Presolana nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
