Morengo comune,Morengo comune.1
,
Morengo – VedutaPalazzo Giovanelli,Morengo – VedutaPalazzo Giovanelli
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Amilcare Signorelli (lista civica Insieme per Morengo) dal 27-5-2019
Territorio,Territorio
Coordinate,45°32′N 9°42′E
Altitudine,126 m s.l.m.
Superficie,"9,57 km²"
Abitanti,2 490[1] (30-11-2025)
Densità,"260,19 ab./km²"
Frazioni,nessuna[2]
Comuni confinanti,"Bariano, Brignano Gera d'Adda, Caravaggio, Cologno al Serio, Martinengo, Pagazzano, Romano di Lombardia"
Altre informazioni,Altre informazioni
Cod. postale,24050
Prefisso,0363
Fuso orario,UTC+1
Codice ISTAT,016140
Cod. catastale,F720
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 251 GG[4]"
Nome abitanti,morenghesi
Patrono,san Salvatore
Giorno festivo,"6 agosto, detta anche festa dì söche (zucche, in dialetto bergamasco)"
Cartografia,Cartografia
Morengo,Morengo
Morengo – MappaPosizione del comune di Morengo nella provincia di Bergamo,Morengo – MappaPosizione del comune di Morengo nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
