Martinengo comune,Martinengo comune.1
,
Martinengo – VedutaVeduta aerea del centro con la parrocchiale di Sant’Agata,Martinengo – VedutaVeduta aerea del centro con la parrocchiale di Sant’Agata
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Pasquale Busetti (lista civica) dal 10-6-2024
Territorio,Territorio
Coordinate,45°34′13.33″N 9°46′02.55″E
Altitudine,149 m s.l.m.
Superficie,"22,05 km²"
Abitanti,11 156[1] (30-11-2025)
Densità,"505,94 ab./km²"
Frazioni,Cortenuova di Sopra[2]
Comuni confinanti,"Cividate al Piano, Cologno al Serio, Cortenuova, Ghisalba, Morengo, Mornico al Serio, Palosco, Romano di Lombardia"
Altre informazioni,Altre informazioni
Cod. postale,24057
Prefisso,0363
Fuso orario,UTC+1
Codice ISTAT,016133
Cod. catastale,E987
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 251 GG[4]"
Nome abitanti,martinenghesi
Patrono,sant'Agata
Giorno festivo,5 febbraio
Cartografia,Cartografia
Martinengo,Martinengo
Martinengo – MappaPosizione del comune di Martinengo nella provincia di Bergamo,Martinengo – MappaPosizione del comune di Martinengo nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
