Villa d'Almè comune,Villa d'Almè comune.1
,
Villa d'Almè – VedutaLa chiesa parrocchiale dei Santi Faustino e Giovita,Villa d'Almè – VedutaLa chiesa parrocchiale dei Santi Faustino e Giovita
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Valentina Ceruti (lista civica Con la gente 2.0) dal 10-6-2024
Territorio,Territorio
Coordinate,45°45′N 9°37′E
Altitudine,300 m s.l.m.
Superficie,"6,49 km²"
Abitanti,6 416[1] (30-11-2025)
Densità,"988,6 ab./km²"
Frazioni,"Bruntino, Campana[2]"
Comuni confinanti,"Almè, Almenno San Salvatore, Sedrina, Sorisole, Ubiale Clanezzo"
Altre informazioni,Altre informazioni
Cod. postale,24018
Prefisso,035
Fuso orario,UTC+1
Codice ISTAT,016239
Cod. catastale,A215
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 496 GG[4]"
Nome abitanti,villesi
Patrono,santi Faustino e Giovita
Giorno festivo,15 febbraio
Cartografia,Cartografia
Villa d'Almè,Villa d'Almè
Villa d'Almè – MappaPosizione del comune di Villa d'Almè nella provincia di Bergamo,Villa d'Almè – MappaPosizione del comune di Villa d'Almè nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
