Gandino comune,Gandino comune.1
,
Gandino – VedutaPanorama,Gandino – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Filippo Servalli (lista civica) dal 13-6-2022
Territorio,Territorio
Coordinate,45°48′42″N 9°54′11″E
Altitudine,552 m s.l.m.
Superficie,"29,03 km²"
Abitanti,5 175[1] (30-11-2025)
Densità,"178,26 ab./km²"
Frazioni,"Barzizza, Cirano[2]"
Comuni confinanti,"Casnigo, Cazzano Sant'Andrea, Cerete, Clusone, Endine Gaiano, Leffe, Peia, Ponte Nossa, Ranzanico, Rovetta, Sovere"
Altre informazioni,Altre informazioni
Cod. postale,24024
Prefisso,035
Fuso orario,UTC+1
Codice ISTAT,016108
Cod. catastale,D905
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 853 GG[4]"
Nome abitanti,gandinesi
Patrono,"san Ponziano, san Flaviano, san Quirino di Neuss, san Valentino[5]"
Giorno festivo,"prima domenica di luglio giorno festivo a livello civile è tuttavia il lunedì successivo alla II domenica di Quaresima, in occasione del sacro triduo dei defunti."
Cartografia,Cartografia
Gandino,Gandino
Gandino – MappaPosizione del comune di Gandino nella provincia di Bergamo,Gandino – MappaPosizione del comune di Gandino nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
