Gromo comune,Gromo comune.1
,
Gromo – VedutaBorgo con Torre Ginami Buccelleni,Gromo – VedutaBorgo con Torre Ginami Buccelleni
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Sara Riva (lista civica) dal 4-10-2021
Territorio,Territorio
Coordinate,45°57′52″N 9°55′39″E
Altitudine,676 m s.l.m.
Superficie,"20,07 km²"
Abitanti,1 140[1] (30-11-2025)
Densità,"56,8 ab./km²"
Frazioni,"Boario Spiazzi, Ripa[2]"
Comuni confinanti,"Ardesio, Gandellino, Oltressenda Alta, Valbondione, Valgoglio, Vilminore di Scalve"
Altre informazioni,Altre informazioni
Cod. postale,24020
Prefisso,0346
Fuso orario,UTC+1
Codice ISTAT,016118
Cod. catastale,E189
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona F, 3 040 GG[4]"
Nome abitanti,gromesi
Patrono,patrono del comune Gregorio Magno la parrocchia dedicata ai santi Giacomo e Vincenzo levita
Giorno festivo,25 luglio
Cartografia,Cartografia
Gromo,Gromo
Gromo – MappaPosizione del comune di Gromo nella provincia di Bergamo,Gromo – MappaPosizione del comune di Gromo nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
