Ponte San Pietro comune,Ponte San Pietro comune.1
,
Ponte San Pietro – VedutaIl ponte sul Brembo,Ponte San Pietro – VedutaIl ponte sul Brembo
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Matteo Macoli (Lega Nord) dal 4-10-2021
Territorio,Territorio
Coordinate,45°41′52″N 9°35′17″E
Altitudine,224 m s.l.m.
Superficie,"4,59 km²"
Abitanti,12 007[1] (30-11-2025)
Densità,"2 615,9 ab./km²"
Frazioni,Locate Bergamasco[2]
Comuni confinanti,"Bonate Sopra, Brembate di Sopra, Curno, Mapello, Mozzo, Presezzo, Valbrembo"
Altre informazioni,Altre informazioni
Cod. postale,24036
Prefisso,035
Fuso orario,UTC+1
Codice ISTAT,016170
Cod. catastale,G856
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 498 GG[4]"
Nome abitanti,sanpietrini
Patrono,san Pietro apostolo e san Paolo
Giorno festivo,29 giugno
Cartografia,Cartografia
Ponte San Pietro,Ponte San Pietro
Ponte San Pietro – MappaPosizione del comune di Ponte San Pietro nella provincia di Bergamo,Ponte San Pietro – MappaPosizione del comune di Ponte San Pietro nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
