Strozza comune,Strozza comune.1
,
Strozza – VedutaVeduta,Strozza – VedutaVeduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Cornali Riccardo (lista civica Strozza 2.0) dal 5-6-2016
Territorio,Territorio
Coordinate,45°46′N 9°35′E
Altitudine,378 m s.l.m.
Superficie,"3,83 km²"
Abitanti,1 093[1] (30-11-2025)
Densità,"285,38 ab./km²"
Frazioni,"Amagno, Cà Campo, Cabrozzo[2]"
Comuni confinanti,"Almenno San Bartolomeo, Almenno San Salvatore, Capizzone, Roncola, Ubiale Clanezzo"
Altre informazioni,Altre informazioni
Cod. postale,24030
Prefisso,035
Fuso orario,UTC+1
Codice ISTAT,016208
Cod. catastale,I986
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 606 GG[4]"
Nome abitanti,strozzensi
Patrono,sant'Andrea Apostolo
Giorno festivo,30 novembre
Cartografia,Cartografia
Strozza,Strozza
Strozza – MappaPosizione del comune di Strozza nella provincia di Bergamo,Strozza – MappaPosizione del comune di Strozza nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
