Dossena comune,Dossena comune.1
,
Dossena – VedutaPanorama,Dossena – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Fabio Bonzi (lista civica Impegno e servizio) dal 26-5-2014
Territorio,Territorio
Coordinate,45°53′N 9°42′E
Altitudine,986 m s.l.m.
Superficie,"19,56 km²"
Abitanti,879[1] (30-11-2025)
Densità,"44,94 ab./km²"
Frazioni,Breta - Ca Cadene - Ca' Astori - Ca' Paoli - Gromasera - Lago - Molini - Tribulini - Valborgo
Sottodivisioni ulteriori,"Via Provinciale, Via Adelvai, Via Molini, Via Don Pietro Rigoli, Via Carale, Via F.lli Gamba, Via Cà Astori, Via Gromasera, Via Risorgimento, Via Villa, Via Orobica, Via Chiesa (sede comunale)[2]"
Comuni confinanti,"Lenna, Roncobello, San Giovanni Bianco, San Pellegrino Terme, Serina"
Altre informazioni,Altre informazioni
Cod. postale,24010
Prefisso,0345
Fuso orario,UTC+1
Codice ISTAT,016092
Cod. catastale,D352
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona F, 3 470 GG[4]"
Nome abitanti,dossenesi
Patrono,natività di San Giovanni Battista
Giorno festivo,24 giugno
Cartografia,Cartografia
Dossena,Dossena
Dossena – MappaPosizione del comune di Dossena nella provincia di Bergamo,Dossena – MappaPosizione del comune di Dossena nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
