Vilminore di Scalve comune,Vilminore di Scalve comune.1
,
Vilminore di Scalve – VedutaPanorama,Vilminore di Scalve – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Capoluogo,Vilminore
Sindaco,Pietro Orrù (lista civica Fare Vilminore di Scalve!) dal 4-10-2021
Territorio,Territorio
Coordinate del capoluogo,46°00′N 10°06′E
Altitudine,1 019 m s.l.m.
Superficie,41 km²
Abitanti,1 422[1] (30-11-2025)
Densità,"34,68 ab./km²"
Frazioni,"Vilminore (sede comunale), Vilmaggiore, Sant'Andrea, Dezzolo, Bueggio, Teveno, Pezzolo, Nona, Pianezza[2]"
Comuni confinanti,"Azzone, Colere, Gromo, Oltressenda Alta, Rovetta, Schilpario, Teglio (SO), Valbondione"
Altre informazioni,Altre informazioni
Cod. postale,24020
Prefisso,0346
Fuso orario,UTC+1
Codice ISTAT,016243
Cod. catastale,M050
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona F, 3 517 GG[4]"
Nome abitanti,vilminoresi
Patrono,santa Maria Assunta
Giorno festivo,15 agosto
Cartografia,Cartografia
Vilminore,Vilminore
Vilminore di Scalve – MappaPosizione del comune di Vilminore di Scalve nella provincia di Bergamo,Vilminore di Scalve – MappaPosizione del comune di Vilminore di Scalve nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
