Mozzanica comune,Mozzanica comune.1
,
"Mozzanica – VedutaLa Torre Civica, simbolo distintivo del paese","Mozzanica – VedutaLa Torre Civica, simbolo distintivo del paese"
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Simone Piana (lista civica Per Mozzanica) dal 10-6-2024
Territorio,Territorio
Coordinate,45°28′33.87″N 9°41′21.33″E
Altitudine,102[1] m s.l.m.
Superficie,"9,46[2] km²"
Abitanti,4 419[3] (30-11-2025)
Densità,"467,12 ab./km²"
Frazioni,Colomberone[4]
Comuni confinanti,"Caravaggio, Castel Gabbiano (CR), Fara Olivana con Sola, Fornovo San Giovanni, Sergnano (CR)"
Altre informazioni,Altre informazioni
Cod. postale,24050
Prefisso,0363
Fuso orario,UTC+1
Codice ISTAT,016142
Cod. catastale,F786
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[5]
Cl. climatica,"zona E, 2 404 GG[6]"
Nome abitanti,mozzanichesi
Patrono,santo Stefano
Giorno festivo,quarta domenica di settembre
Cartografia,Cartografia
Mozzanica,Mozzanica
Mozzanica – MappaPosizione del comune di Mozzanica nella provincia di Bergamo,Mozzanica – MappaPosizione del comune di Mozzanica nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
