Calvenzano comune,Calvenzano comune.1
,
Calvenzano – VedutaLa parrocchiale dei SS. Pietro e Paolo,Calvenzano – VedutaLa parrocchiale dei SS. Pietro e Paolo
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Fabio Ferla (lista civica Amiamo Calvenzano) dal 5-6-2016
Territorio,Territorio
Coordinate,45°29′42″N 9°35′58″E
Altitudine,113 m s.l.m.
Superficie,"6,72 km²"
Abitanti,4 524[1] (30-11-2025)
Densità,"673,21 ab./km²"
Frazioni,nessuna[2]
Comuni confinanti,"Arzago d'Adda, Caravaggio, Casirate d'Adda, Misano di Gera d'Adda, Treviglio, Vailate (CR)"
Altre informazioni,Altre informazioni
Cod. postale,24040
Prefisso,0363
Fuso orario,UTC+1
Codice ISTAT,016047
Cod. catastale,B442
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 383 GG[4]"
Nome abitanti,calvenzanesi
Patrono,santi Pietro e Paolo Apostoli
Giorno festivo,prima domenica di maggio e lunedì successivo
Cartografia,Cartografia
Calvenzano,Calvenzano
Calvenzano – MappaPosizione del comune di Calvenzano nella provincia di Bergamo,Calvenzano – MappaPosizione del comune di Calvenzano nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
