Pognano comune,Pognano comune.1
,
Pognano – VedutaLa parrocchiale di San Carlo,Pognano – VedutaLa parrocchiale di San Carlo
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Edoardo Marchetti (Lega Nord) dall'8-6-2009
Territorio,Territorio
Coordinate,45°35′13″N 9°38′27″E
Altitudine,157 m s.l.m.
Superficie,"3,29 km²"
Abitanti,1 604[1] (30-11-2025)
Densità,"487,54 ab./km²"
Comuni confinanti,"Arcene, Lurano, Spirano, Verdello"
Altre informazioni,Altre informazioni
Cod. postale,24040
Prefisso,035
Fuso orario,UTC+1
Codice ISTAT,016167
Cod. catastale,G774
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 383 GG[3]"
Nome abitanti,pognanesi
Patrono,san Carlo Borromeo
Giorno festivo,8 dicembre
Cartografia,Cartografia
Pognano,Pognano
Pognano – MappaPosizione del comune di Pognano nella provincia di Bergamo,Pognano – MappaPosizione del comune di Pognano nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
