Antegnate comune,Antegnate comune.1
,
Antegnate – VedutaVeduta,Antegnate – VedutaVeduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Simone Nava (lista civica) dal 10-6-2024
Territorio,Territorio
Coordinate,45°29′07″N 9°47′20″E
Altitudine,112 m s.l.m.
Superficie,"9,73 km²"
Abitanti,3 440[1] (30-11-2025)
Densità,"353,55 ab./km²"
Frazioni,nessuna[2]
Comuni confinanti,"Barbata, Calcio, Covo, Fontanella"
Altre informazioni,Altre informazioni
Cod. postale,24051
Prefisso,0363
Fuso orario,UTC+1
Codice ISTAT,016010
Cod. catastale,A304
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 251 GG[4]"
Nome abitanti,antegnatesi
Patrono,san Michele arcangelo
Giorno festivo,29 settembre
Cartografia,Cartografia
Antegnate,Antegnate
Antegnate – MappaPosizione del comune di Antegnate nella provincia di Bergamo,Antegnate – MappaPosizione del comune di Antegnate nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
