Entratico comune,Entratico comune.1
,
Entratico – VedutaIl santuario dell’Annunziata,Entratico – VedutaIl santuario dell’Annunziata
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Andrea Epinati (lista civica Insieme per Entratico 2.0) dal 27-5-2019
Territorio,Territorio
Coordinate,45°42′09.65″N 9°52′41.04″E
Altitudine,299 m s.l.m.
Superficie,"4,15 km²"
Abitanti,2 014[1] (30-11-2025)
Densità,"485,3 ab./km²"
Frazioni,nessuna[2]
Comuni confinanti,"Berzo San Fermo, Borgo di Terzo, Foresto Sparso, Luzzana, Trescore Balneario, Zandobbio"
Altre informazioni,Altre informazioni
Cod. postale,24060
Prefisso,035
Fuso orario,UTC+1
Codice ISTAT,016094
Cod. catastale,D411
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 494 GG[4]"
Nome abitanti,entratichesi
Patrono,san Martino di Tours
Giorno festivo,11 novembre
Cartografia,Cartografia
Entratico,Entratico
Entratico – MappaPosizione del comune di Entratico nella provincia di Bergamo,Entratico – MappaPosizione del comune di Entratico nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
