Caprino Bergamasco comune,Caprino Bergamasco comune.1
,
Caprino Bergamasco – VedutaLa parrocchiale di San Biagio,Caprino Bergamasco – VedutaLa parrocchiale di San Biagio
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Luca Tami (lista civica) dal 10-6-2024
Territorio,Territorio
Coordinate,45°44′43.01″N 9°28′54.29″E
Altitudine,315 m s.l.m.
Superficie,"8,78 km²"
Abitanti,3 083[1] (30-11-2025)
Densità,"351,14 ab./km²"
Frazioni,"Celana, Perlupario, Sant'Antonio d'Adda, Celanella, Opreno, Formorone[2]"
Comuni confinanti,"Cisano Bergamasco, Palazzago, Pontida, Roncola, Torre de' Busi"
Altre informazioni,Altre informazioni
Cod. postale,24030
Prefisso,035
Fuso orario,UTC+1
Codice ISTAT,016052
Cod. catastale,B710
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 517 GG[4]"
Nome abitanti,caprinesi
Patrono,san Biagio
Giorno festivo,3 febbraio
Cartografia,Cartografia
Caprino Bergamasco,Caprino Bergamasco
Caprino Bergamasco – MappaPosizione del comune di Caprino Bergamasco nella provincia di Bergamo,Caprino Bergamasco – MappaPosizione del comune di Caprino Bergamasco nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
