Calcinate comune,Calcinate comune.1
,
Calcinate – VedutaPanorama,Calcinate – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Lorena Boni (lista civica Controcorrente per Calcinate - Lorena Boni sindaco) dal 26-5-2025
Territorio,Territorio
Coordinate,45°37′16.32″N 9°48′01.08″E
Altitudine,186 m s.l.m.
Superficie,"15,08 km²"
Abitanti,6 266[1] (30-11-2025)
Densità,"415,52 ab./km²"
Frazioni,nessuna[2]
Comuni confinanti,"Bagnatica, Bolgare, Cavernago, Costa di Mezzate, Ghisalba, Mornico al Serio, Palosco, Seriate"
Altre informazioni,Altre informazioni
Cod. postale,24050
Prefisso,035
Fuso orario,UTC+1
Codice ISTAT,016043
Cod. catastale,B393
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 383 GG[4]"
Nome abitanti,calcinatesi
Patrono,santa Maria Assunta
Giorno festivo,"15 agosto; la sagra patronale, le celebrazioni e il palio si tengono però ad inizio settembre"
Cartografia,Cartografia
Calcinate,Calcinate
Calcinate – MappaPosizione del comune di Calcinate nella provincia di Bergamo,Calcinate – MappaPosizione del comune di Calcinate nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
