San Paolo d'Argon comune,San Paolo d'Argon comune.1
,
San Paolo d'Argon – VedutaChiesa di Santa Maria in Argon,San Paolo d'Argon – VedutaChiesa di Santa Maria in Argon
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Graziano Frassini (Lega) dal 05-10-2021
Territorio,Territorio
Coordinate,45°41′21″N 9°48′11″E
Altitudine,255 m s.l.m.
Superficie,"5,25 km²"
Abitanti,5 935[1] (30-11-2025)
Densità,"1 130,48 ab./km²"
Frazioni,nessuna[2]
Comuni confinanti,"Albano Sant'Alessandro, Cenate Sotto, Gorlago, Montello, Scanzorosciate, Torre de' Roveri, Trescore Balneario"
Altre informazioni,Altre informazioni
Cod. postale,24060
Prefisso,035
Fuso orario,UTC+1
Codice ISTAT,016189
Cod. catastale,B310
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 432 GG[4]"
Nome abitanti,sampaolesi
Patrono,san Mauro
Giorno festivo,15 gennaio
Cartografia,Cartografia
San Paolo d'Argon,San Paolo d'Argon
San Paolo d'Argon – MappaPosizione del comune di San Paolo d'Argon nella provincia di Bergamo,San Paolo d'Argon – MappaPosizione del comune di San Paolo d'Argon nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
