Brembate comune,Brembate comune.1
,
Brembate – VedutaPanorama dell'abitato sulle rive del Brembo,Brembate – VedutaPanorama dell'abitato sulle rive del Brembo
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Luca Rosa (lista civica Il comune amico) dal 10-6-2024
Territorio,Territorio
Coordinate,45°36′13.68″N 9°33′19.8″E
Altitudine,173 m s.l.m.
Superficie,"5,54 km²"
Abitanti,8 736[1] (30-11-2025)
Densità,"1 576,9 ab./km²"
Frazioni,Grignano[2]
Comuni confinanti,"Boltiere, Canonica d'Adda, Capriate San Gervasio, Filago, Osio Sotto, Pontirolo Nuovo"
Altre informazioni,Altre informazioni
Cod. postale,24041
Prefisso,035
Fuso orario,UTC+1
Codice ISTAT,016037
Cod. catastale,B137
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[3]
Nome abitanti,brembatesi
Patrono,santi Faustino e Giovita
Giorno festivo,15 febbraio
Cartografia,Cartografia
Brembate,Brembate
Brembate – MappaPosizione del comune di Brembate nella provincia di Bergamo,Brembate – MappaPosizione del comune di Brembate nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
