Spinone al Lago comune,Spinone al Lago comune.1
,
Spinone al Lago – VedutaPanorama da Monasterolo,Spinone al Lago – VedutaPanorama da Monasterolo
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Simone Scaburri (lista civica Semplicemente Spinone) dal 25-5-2014
Territorio,Territorio
Coordinate,45°45′50.4″N 9°55′09.48″E
Altitudine,360 m s.l.m.
Superficie,"1,97 km²"
Abitanti,Template:1 006[1] (30-11-2025)
Densità,"Errore nell'espressione: carattere di punteggiatura ""["" non riconosciuto ab./km²"
Frazioni,nessuna[2]
Comuni confinanti,"Bianzano, Casazza, Gaverina Terme, Monasterolo del Castello, Ranzanico"
Altre informazioni,Altre informazioni
Cod. postale,24060
Prefisso,035
Fuso orario,UTC+1
Codice ISTAT,016205
Cod. catastale,I916
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 581 GG[4]"
Nome abitanti,spinonesi
Patrono,san Carlo
Giorno festivo,4 novembre
Cartografia,Cartografia
Spinone al Lago,Spinone al Lago
Spinone al Lago – MappaPosizione del comune di Spinone al Lago nella provincia di Bergamo,Spinone al Lago – MappaPosizione del comune di Spinone al Lago nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
