Cividate al Piano comune,Cividate al Piano comune.1
,
Cividate al Piano – Veduta,Cividate al Piano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Giovanni Battista Forlani (lista civica Comunità democratica) dal 1-6-2015
Territorio,Territorio
Coordinate,45°33′N 9°49′E
Altitudine,147 m s.l.m.
Superficie,"9,73 km²"
Abitanti,5 093[1] (30-11-2025)
Densità,"523,43 ab./km²"
Frazioni,nessuna[2]
Comuni confinanti,"Calcio, Cortenuova, Martinengo, Palosco, Pontoglio (BS), Urago d'Oglio (BS)"
Altre informazioni,Altre informazioni
Cod. postale,24050
Prefisso,0363
Fuso orario,UTC+1
Codice ISTAT,016076
Cod. catastale,C759
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 383 GG[4]"
Nome abitanti,cividatesi
Patrono,san Nicola di Bari
Giorno festivo,6 dicembre
Cartografia,Cartografia
Cividate al Piano,Cividate al Piano
Cividate al Piano – MappaPosizione del comune di Cividate al Piano nella provincia di Bergamo,Cividate al Piano – MappaPosizione del comune di Cividate al Piano nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
