Sant'Omobono Terme comune,Sant'Omobono Terme comune.1
,
Sant'Omobono Terme – VedutaPanorama,Sant'Omobono Terme – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Sauro Ivo Manzoni (lista congiunta civica-Lega-Fratelli d'Italia-Forza Italia Sant'Omobono viva) dal 27-5-2019
Territorio,Territorio
Coordinate,45°48′33.48″N 9°32′14.28″E
Altitudine,427 m s.l.m.
Superficie,"16,43[1] km²"
Abitanti,3 946[2] (30-11-2025)
Densità,"240,17 ab./km²"
Frazioni,"Cepino, Mazzoleni, Selino Alto, Selino Basso (sede comunale), Valsecca"
Comuni confinanti,"Bedulita, Berbenno, Brumano, Carenno (LC), Corna Imagna, Costa Valle Imagna, Erve (LC), Lecco (LC), Roncola, Rota d'Imagna, Val Brembilla"
Altre informazioni,Altre informazioni
Cod. postale,24038
Prefisso,035
Fuso orario,UTC+1
Codice ISTAT,016252
Cod. catastale,M333
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 698 GG[4]"
Nome abitanti,santomobonesi
Patrono,sant'Omobono
Giorno festivo,13 novembre
Cartografia,Cartografia
Sant'Omobono Terme,Sant'Omobono Terme
Sant'Omobono Terme – MappaPosizione del comune di Sant'Omobono Terme nella provincia di Bergamo,Sant'Omobono Terme – MappaPosizione del comune di Sant'Omobono Terme nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
