Covo comune,Covo comune.1
,
Covo – VedutaLa parrocchiale dei SS. Filippo e Giacomo,Covo – VedutaLa parrocchiale dei SS. Filippo e Giacomo
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Andrea Capelletti (lista civica) dal 26-5-2014
Territorio,Territorio
Coordinate,45°30′N 9°46′E
Altitudine,115 m s.l.m.
Superficie,"12,94 km²"
Abitanti,4 366[1] (30-11-2025)
Densità,"337,4 ab./km²"
Frazioni,nessuna[2]
Comuni confinanti,"Antegnate, Barbata, Calcio, Cortenuova, Fara Olivana con Sola, Isso, Romano di Lombardia"
Altre informazioni,Altre informazioni
Cod. postale,24050
Prefisso,0363
Fuso orario,UTC+1
Codice ISTAT,016087
Cod. catastale,D126
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 383 GG[4]"
Nome abitanti,covesi
Patrono,san Lazzaro
Giorno festivo,17 dicembre
Cartografia,Cartografia
Covo,Covo
Covo – MappaPosizione del comune di Covo nella provincia di Bergamo,Covo – MappaPosizione del comune di Covo nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
