Olmo al Brembo comune,Olmo al Brembo comune.1
,
Olmo al Brembo – VedutaSantuario della Madonna dei Campelli,Olmo al Brembo – VedutaSantuario della Madonna dei Campelli
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Carmelo Goglio (lista civica Insieme per Olmo) dal 26-5-2009
Territorio,Territorio
Coordinate,45°58′20″N 9°38′57″E
Altitudine,556 m s.l.m.
Superficie,"7,9 km²"
Abitanti,453[1] (30-11-2025)
Densità,"57,34 ab./km²"
Frazioni,"Cigadola, Cugno Basso, Frola, Malpasso"
Comuni confinanti,"Averara, Cassiglio, Mezzoldo, Piazza Brembana, Piazzatorre, Piazzolo, Santa Brigida"
Altre informazioni,Altre informazioni
Cod. postale,24010
Prefisso,0345
Fuso orario,UTC+1
Codice ISTAT,016145
Cod. catastale,G049
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 859 GG[3]"
Nome abitanti,olmesi
Patrono,sant'Antonio abate
Giorno festivo,17 gennaio
Cartografia,Cartografia
Olmo al Brembo,Olmo al Brembo
Olmo al Brembo – MappaPosizione del comune di Olmo al Brembo nella provincia di Bergamo,Olmo al Brembo – MappaPosizione del comune di Olmo al Brembo nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
