Orio al Serio comune,Orio al Serio comune.1
,
Orio al Serio – VedutaPanorama,Orio al Serio – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Alessandro Colletta (lista civica Orio viva) dal 26-5-2014 (3º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,45°40′09.46″N 9°41′44.23″E
Altitudine,241 m s.l.m.
Superficie,"3,04[1] km²"
Abitanti,1 591[2] (30-11-2025)
Densità,"523,36 ab./km²"
Frazioni,"Portico, Nuova Betosca"
Comuni confinanti,"Azzano San Paolo, Bergamo, Grassobbio, Seriate, Zanica"
Altre informazioni,Altre informazioni
Cod. postale,24050
Prefisso,035
Fuso orario,UTC+1
Codice ISTAT,016150
Cod. catastale,G108
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 522 GG[4]"
Nome abitanti,oriensi
Patrono,san Giorgio
Giorno festivo,23 aprile
Cartografia,Cartografia
Orio al Serio,Orio al Serio
Orio al Serio – MappaPosizione del comune di Orio al Serio nella provincia di Bergamo,Orio al Serio – MappaPosizione del comune di Orio al Serio nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
