Parzanica comune,Parzanica comune.1
,
Parzanica – VedutaPanorama,Parzanica – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Battista Cristinelli (lista civica Parzanica futura) dal 21-9-2020
Territorio,Territorio
Coordinate,45°44′N 10°02′E
Altitudine,753 m s.l.m.
Superficie,"9,82 km²"
Abitanti,333[1] (30-11-2025)
Densità,"33,91 ab./km²"
Frazioni,"Acquaiolo, Portirone[2]"
Comuni confinanti,"Fonteno, Marone (BS), Monte Isola (BS), Riva di Solto, Tavernola Bergamasca, Vigolo"
Altre informazioni,Altre informazioni
Cod. postale,24060
Prefisso,035
Fuso orario,UTC+1
Codice ISTAT,016159
Cod. catastale,G350
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona F, 3 139 GG[4]"
Nome abitanti,parzanichesi
Patrono,san Colombano
Giorno festivo,23 novembre
Cartografia,Cartografia
Parzanica,Parzanica
Parzanica – MappaPosizione del comune di Parzanica nella provincia di Bergamo,Parzanica – MappaPosizione del comune di Parzanica nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
