Tavernola Bergamasca comune,Tavernola Bergamasca comune.1
,
Tavernola Bergamasca – VedutaPanorama,Tavernola Bergamasca – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Roberto Martinelli (lista civica Tavernola al centro) dal 9-6-2024
Territorio,Territorio
Coordinate,45°43′N 10°03′E
Altitudine,191 m s.l.m.
Superficie,"11,17 km²"
Abitanti,1 918[1] (30-11-2025)
Densità,"171,71 ab./km²"
Frazioni,nessuna[2]; vedi elenco località
Comuni confinanti,"Iseo (BS), Monte Isola (BS), Parzanica, Predore, Vigolo"
Altre informazioni,Altre informazioni
Cod. postale,24060
Prefisso,035
Fuso orario,UTC+1
Codice ISTAT,016211
Cod. catastale,L073
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 340 GG[4]"
Nome abitanti,tavernolesi
Patrono,Madonna di Cortinica
Giorno festivo,2 luglio
Cartografia,Cartografia
Tavernola Bergamasca,Tavernola Bergamasca
Tavernola Bergamasca – MappaPosizione del comune di Tavernola Bergamasca nella provincia di Bergamo,Tavernola Bergamasca – MappaPosizione del comune di Tavernola Bergamasca nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
