Villongo comune,Villongo comune.1
,
Villongo – VedutaChiesa di San Filastro,Villongo – VedutaChiesa di San Filastro
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Francesco Micheli (centrodestra) dal 13-6-2022
Territorio,Territorio
Coordinate,45°40′N 9°56′E
Altitudine,220 m s.l.m.
Superficie,"6,04 km²"
Abitanti,8 182[1] (30-11-2025)
Densità,"1 354,64 ab./km²"
Frazioni,nessuna[2]
Comuni confinanti,"Adrara San Martino, Credaro, Foresto Sparso, Paratico (BS), Sarnico, Zandobbio, Viadanica"
Altre informazioni,Altre informazioni
Cod. postale,24060
Prefisso,035
Fuso orario,UTC+1
Codice ISTAT,016242
Cod. catastale,M045
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 437 GG[4]"
Nome abitanti,villonghesi
Patrono,"sant'Anna, san Filastro, sant'Alessandro"
Giorno festivo,"Parrocchia San Filastro: 26 luglio, Parrocchia Sant'Alessandro: 26 agosto"
Cartografia,Cartografia
Villongo,Villongo
Villongo – MappaPosizione del comune di Villongo nella provincia di Bergamo,Villongo – MappaPosizione del comune di Villongo nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
