Levate comune,Levate comune.1
,
Levate – VedutaIl centro del paese con la chiesa parrocchiale,Levate – VedutaIl centro del paese con la chiesa parrocchiale
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Paola Agazzi (lista civica Nuova proposta per Levate) dal 24-6-2024
Territorio,Territorio
Coordinate,45°37′44.18″N 9°37′35.71″E
Altitudine,185 m s.l.m.
Superficie,"5,53 km²"
Abitanti,3 739[1] (30-11-2025)
Densità,"676,13 ab./km²"
Frazioni,nessuna[2]
Comuni confinanti,"Comun Nuovo, Dalmine, Osio Sopra, Osio Sotto, Stezzano, Verdellino, Verdello"
Altre informazioni,Altre informazioni
Cod. postale,24040
Prefisso,035
Fuso orario,UTC+1
Codice ISTAT,016126
Cod. catastale,E562
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 516 GG[4]"
Nome abitanti,levatesi
Patrono,santi Pietro e Paolo
Giorno festivo,29 giugno
Cartografia,Cartografia
Levate,Levate
Levate – MappaPosizione del comune di Levate nella provincia di Bergamo,Levate – MappaPosizione del comune di Levate nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
