Brignano Gera d'Adda comune,Brignano Gera d'Adda comune.1
,
Brignano Gera d'Adda – VedutaPiazza Donini con la parrocchiale dell’Assunta e l’oratorio della Trinità,Brignano Gera d'Adda – VedutaPiazza Donini con la parrocchiale dell’Assunta e l’oratorio della Trinità
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Marco Bonardi (lista civica) dal 10-6-2024
Territorio,Territorio
Coordinate,45°32′N 9°38′E
Altitudine,128[1] m s.l.m.
Superficie,"12,11[3] km²"
Abitanti,6 266[4] (30-11-2025)
Densità,"517,42 ab./km²"
Frazioni,nessuna[5]
Comuni confinanti,"Caravaggio, Castel Rozzone, Cologno al Serio, Lurano, Pagazzano, Spirano, Treviglio"
Altre informazioni,Altre informazioni
Cod. postale,24053
Prefisso,0363
Fuso orario,UTC+1
Codice ISTAT,016040
Cod. catastale,B178
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[6]
Cl. climatica,"zona E, 2 369 GG[7]"
Nome abitanti,brignanesi
Patrono,"San Francesco d'Assisi, subentrato a San Bonifacio di Losanna"
Giorno festivo,prima domenica di ottobre
Cartografia,Cartografia
Brignano Gera d'Adda,Brignano Gera d'Adda
Brignano Gera d'Adda – MappaPosizione del comune di Brignano Gera d'Adda nella provincia di Bergamo,Brignano Gera d'Adda – MappaPosizione del comune di Brignano Gera d'Adda nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
