Torre Boldone comune,Torre Boldone comune.1
,
Torre Boldone – VedutaPanorama,Torre Boldone – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Simonetta Farnedi (lista civica Uniti per cambiare) dal 10-6-2024
Territorio,Territorio
Coordinate,45°43′N 9°42′E
Altitudine,280 m s.l.m.
Superficie,"3,48[1] km²"
Abitanti,8 716[2] (30-11-2025)
Densità,"2 504,6 ab./km²"
Frazioni,nessuna[3]
Comuni confinanti,"Bergamo, Gorle, Ponteranica, Ranica"
Altre informazioni,Altre informazioni
Cod. postale,24020
Prefisso,035
Fuso orario,UTC+1
Codice ISTAT,016214
Cod. catastale,L251
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[4]
Cl. climatica,"zona E, 2 467 GG[5]"
Nome abitanti,torreboldonesi
Patrono,san Martino
Giorno festivo,11 novembre
Cartografia,Cartografia
Torre Boldone,Torre Boldone
Torre Boldone – MappaPosizione del comune di Torre Boldone nella provincia di Bergamo,Torre Boldone – MappaPosizione del comune di Torre Boldone nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
