Rovetta comune,Rovetta comune.1
,
Rovetta – VedutaPanorama di Rovetta e dell’altopiano di Clusone,Rovetta – VedutaPanorama di Rovetta e dell’altopiano di Clusone
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Mauro Marinoni (lista civica) dal 27-5-2019
Territorio,Territorio
Coordinate,45°53′34.76″N 9°59′00.45″E
Altitudine,650 m s.l.m.
Superficie,"24,53 km²"
Abitanti,4 159[1] (30-11-2025)
Densità,"169,55 ab./km²"
Frazioni,"San Lorenzo, Conca Verde[2]"
Comuni confinanti,"Castione della Presolana, Cerete, Clusone, Colere, Fino del Monte, Gandino, Oltressenda Alta, Songavazzo, Villa d'Ogna, Vilminore di Scalve"
Altre informazioni,Altre informazioni
Cod. postale,24020
Prefisso,0346
Fuso orario,UTC+1
Codice ISTAT,016187
Cod. catastale,H615
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona F, 3 014 GG[4]"
Nome abitanti,rovettesi
Patrono,Ognissanti
Giorno festivo,1º novembre
Cartografia,Cartografia
Rovetta,Rovetta
Rovetta – MappaPosizione del comune di Rovetta nella provincia di Bergamo,Rovetta – MappaPosizione del comune di Rovetta nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
