Almè comune,Almè comune.1
,
Almè – VedutaLa vecchia parrocchiale,Almè – VedutaLa vecchia parrocchiale
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Massimo Bandera (lista civica di centro-destra Vivere Almè) dal 20-9-2020
Territorio,Territorio
Coordinate,45°44′13″N 9°36′55″E
Altitudine,294 m s.l.m.
Superficie,2 km²
Abitanti,5 507[1] (30-11-2025)
Densità,"2 753,5 ab./km²"
Frazioni,nessuna[2]
Comuni confinanti,"Almenno San Bartolomeo, Almenno San Salvatore, Paladina, Sorisole, Villa d'Almè"
Altre informazioni,Altre informazioni
Cod. postale,24011
Prefisso,035
Fuso orario,UTC+1
Codice ISTAT,016005
Cod. catastale,A214
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 418 GG[4]"
Nome abitanti,almensi
Patrono,san Giovanni Battista[5]
Giorno festivo,24 giugno
Cartografia,Cartografia
Almè,Almè
Almè – MappaPosizione del comune di Almè nella provincia di Bergamo,Almè – MappaPosizione del comune di Almè nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
