Foresto Sparso comune,Foresto Sparso comune.1
,
Foresto Sparso – VedutaPanorama,Foresto Sparso – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Carlo Ponti (lista civica) dal 12-2-2023
Territorio,Territorio
Coordinate,45°42′N 9°54′E
Altitudine,346 m s.l.m.
Superficie,"7,87 km²"
Abitanti,3 126[1] (30-11-2025)
Densità,"397,2 ab./km²"
Frazioni,"Chiesa (sede comunale), Franzi, San Michele, Vallunga, Tremellini, Gafforelli[2]"
Comuni confinanti,"Adrara San Martino, Berzo San Fermo, Entratico, Villongo, Zandobbio"
Altre informazioni,Altre informazioni
Cod. postale,24060
Prefisso,035
Fuso orario,UTC+1
Codice ISTAT,016104
Cod. catastale,D697
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 561 GG[4]"
Nome abitanti,forestesi
Patrono,san Marco Evangelista
Giorno festivo,25 aprile (San Marco)
Cartografia,Cartografia
Foresto Sparso,Foresto Sparso
Foresto Sparso – MappaPosizione del comune di Foresto Sparso nella provincia di Bergamo,Foresto Sparso – MappaPosizione del comune di Foresto Sparso nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
