Locatello comune,Locatello comune.1
,
Locatello – VedutaPanorama,Locatello – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Simona Carminati dal 5-6-2016
Territorio,Territorio
Coordinate,45°50′N 9°32′E
Altitudine,557 m s.l.m.
Superficie,"3,79 km²"
Abitanti,814[1] (30-11-2025)
Densità,"214,78 ab./km²"
Frazioni,"Piazzola, Ca' Prospero, Codeghelli, Ca' Felice, Fucine, Follo, Ca' Marosio, Botta, Musso, Medile, Sassi, Disdiroli, Castelleno, Ca' Persico, Bustoseta, Buonanome, Coegia, Ca' Marina, Cantù, Livelli, Fiorinello, Vaio, Rudicchio, Neverola, Costa dei Campi[2]"
Comuni confinanti,"Brumano, Corna Imagna, Fuipiano Valle Imagna, Rota d'Imagna"
Altre informazioni,Altre informazioni
Cod. postale,24030
Prefisso,035
Fuso orario,UTC+1
Codice ISTAT,016127
Cod. catastale,E640
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 861 GG[4]"
Nome abitanti,locatellesi
Patrono,santa Maria Assunta
Giorno festivo,15 agosto
Cartografia,Cartografia
Locatello,Locatello
Locatello – MappaPosizione del comune di Locatello nella provincia di Bergamo,Locatello – MappaPosizione del comune di Locatello nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
