Almenno San Salvatore comune,Almenno San Salvatore comune.1
,
Almenno San Salvatore – VedutaPanorama,Almenno San Salvatore – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Michele Sarchielli (Lega Nord) dal 27-5-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,45°45′00″N 9°35′15″E
Altitudine,328 m s.l.m.
Superficie,"4,73 km²"
Abitanti,5 496[1] (30-11-2025)
Densità,"1 161,95 ab./km²"
Frazioni,nessuna[2]
Comuni confinanti,"Almè, Almenno San Bartolomeo, Paladina, Strozza, Ubiale Clanezzo, Villa d'Almè"
Altre informazioni,Altre informazioni
Cod. postale,24031
Prefisso,035
Fuso orario,UTC+1
Codice ISTAT,016007
Cod. catastale,A217
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 460 GG[4]"
Nome abitanti,almennesi
Patrono,santissimo Salvatore e Madonna Candelora
Giorno festivo,6 agosto e 2 febbraio
Cartografia,Cartografia
Almenno San Salvatore,Almenno San Salvatore
Almenno San Salvatore – MappaPosizione del comune di Almenno San Salvatore nella provincia di Bergamo,Almenno San Salvatore – MappaPosizione del comune di Almenno San Salvatore nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
