Pumenengo comune,Pumenengo comune.1
,
Pumenengo – VedutaCastello Barbò,Pumenengo – VedutaCastello Barbò
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Mauro Barelli (lista civica Un progetto in comune) dal 5-6-2016
Territorio,Territorio
Coordinate,45°28′N 9°52′E
Altitudine,106 m s.l.m.
Superficie,"10,12 km²"
Abitanti,1 731[1] (30-11-2025)
Densità,"171,05 ab./km²"
Frazioni,nessuna[2]
Comuni confinanti,"Calcio, Fontanella, Roccafranca (BS), Rudiano (BS), Torre Pallavicina"
Altre informazioni,Altre informazioni
Cod. postale,24050
Prefisso,0363
Fuso orario,UTC+1
Codice ISTAT,016177
Cod. catastale,H091
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 251 GG[4]"
Nome abitanti,pumenenghesi
Patrono,san Pietro e san Paolo
Giorno festivo,29 giugno
Cartografia,Cartografia
Pumenengo,Pumenengo
Pumenengo – MappaPosizione del comune di Pumenengo nella provincia di Bergamo,Pumenengo – MappaPosizione del comune di Pumenengo nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
