Mornico al Serio comune,Mornico al Serio comune.1
,
Mornico al Serio – VedutaPanorama,Mornico al Serio – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Eugenio Cerea (lista civica Siamo Mornico) dal 26-5-2014 (3º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,45°35′33″N 9°48′32″E
Altitudine,162 m s.l.m.
Superficie,"6,92 km²"
Abitanti,3 046[1] (30-11-2025)
Densità,"440,17 ab./km²"
Frazioni,nessuna[2]
Comuni confinanti,"Calcinate, Ghisalba, Martinengo, Palosco"
Altre informazioni,Altre informazioni
Cod. postale,24050
Prefisso,035
Fuso orario,UTC+1
Codice ISTAT,016141
Cod. catastale,F738
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 383 GG[4]"
Nome abitanti,mornicesi
Patrono,sant'Andrea Apostolo
Giorno festivo,30 novembre
Cartografia,Cartografia
Mornico al Serio,Mornico al Serio
Mornico al Serio – MappaPosizione del comune di Mornico al Serio nella provincia di Bergamo,Mornico al Serio – MappaPosizione del comune di Mornico al Serio nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
