Costa Serina comune,Costa Serina comune.1
,
Costa Serina – VedutaPanorama,Costa Serina – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Fausto Dolci (lista civica) dal 2014
Territorio,Territorio
Coordinate,45°49′56.71″N 9°44′30.97″E
Altitudine,868 m s.l.m.
Superficie,"12,3 km²"
Abitanti,910[1] (30-11-2025)
Densità,"73,98 ab./km²"
Frazioni,"Ascensione, Trafficanti, Ambriola[2]"
Comuni confinanti,"Algua, Aviatico, Bracca, Cornalba, Gazzaniga, Serina, Vertova, Zogno"
Altre informazioni,Altre informazioni
Cod. postale,24010
Prefisso,0345
Fuso orario,UTC+1
Codice ISTAT,016247
Cod. catastale,D111
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[3]
Nome abitanti,costaserinesi
Patrono,san Lorenzo
Giorno festivo,10 agosto
Cartografia,Cartografia
Costa Serina,Costa Serina
Costa Serina – MappaPosizione del comune di Costa Serina nella provincia di Bergamo,Costa Serina – MappaPosizione del comune di Costa Serina nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
