San Giovanni Bianco comune,San Giovanni Bianco comune.1
,
San Giovanni Bianco – VedutaIl paese alla confluenza del torrente Enna nel fiume Brembo,San Giovanni Bianco – VedutaIl paese alla confluenza del torrente Enna nel fiume Brembo
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Enrica Bonzi (lista civica Gruppo civico con Enrica Bonzi sindaco) dal 4-10-2021
Territorio,Territorio
Coordinate,45°52′N 9°39′E
Altitudine,448 m s.l.m.
Superficie,"31,03 km²"
Abitanti,4 581[1] (30-11-2025)
Densità,"147,63 ab./km²"
Frazioni,"Fuipiano al Brembo, Roncaglia Entro, Capatiglio, Cornalita, Pianca, Oneta, Costa San Gallo, San Pietro d'Orzio, La Portiera, San Gallo[2]"
Comuni confinanti,"Camerata Cornello, Dossena, Lenna, San Pellegrino Terme, Taleggio, Val Brembilla"
Altre informazioni,Altre informazioni
Cod. postale,24015
Prefisso,0345
Fuso orario,UTC+1
Codice ISTAT,016188
Cod. catastale,H910
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 698 GG[4]"
Nome abitanti,sangiovannesi
Patrono,san Giovanni Evangelista
Giorno festivo,27 dicembre
Cartografia,Cartografia
San Giovanni Bianco,San Giovanni Bianco
San Giovanni Bianco – MappaPosizione del comune di San Giovanni Bianco nella provincia di Bergamo,San Giovanni Bianco – MappaPosizione del comune di San Giovanni Bianco nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
