Barbata comune,Barbata comune.1
,
Barbata – VedutaPiazza IV Novembre,Barbata – VedutaPiazza IV Novembre
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Vincenzo Trapattoni (lista civica) dal 26-5-2014 (3º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,45°28′28″N 9°46′35″E
Altitudine,105 m s.l.m.
Superficie,"7,98 km²"
Abitanti,692[1] (30-11-2025)
Densità,"86,72 ab./km²"
Comuni confinanti,"Antegnate, Camisano (CR), Casaletto di Sopra (CR), Covo, Fontanella, Isso"
Altre informazioni,Altre informazioni
Cod. postale,24040
Prefisso,0363
Fuso orario,UTC+1
Codice ISTAT,016019
Cod. catastale,A631
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 251 GG[3]"
Nome abitanti,barbatesi
Patrono,santi Pietro e Paolo
Giorno festivo,29 giugno
Cartografia,Cartografia
Barbata,Barbata
Barbata – MappaPosizione del comune di Barbata nella provincia di Bergamo,Barbata – MappaPosizione del comune di Barbata nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
