Schilpario comune,Schilpario comune.1
,
Schilpario – VedutaPanorama,Schilpario – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Claudio Agoni (lista civica) dal 09-06-2024
Territorio,Territorio
Coordinate,46°01′N 10°09′E
Altitudine,1 135 m s.l.m.
Superficie,"63,97 km²"
Abitanti,1 132[1] (30-11-2025)
Densità,"17,7 ab./km²"
Frazioni,"Pradella, Barzesto, Ronco[2]"
Comuni confinanti,"Azzone, Borno (BS), Cerveno (BS), Lozio (BS), Ossimo (BS), Paisco Loveno (BS), Teglio (SO), Vilminore di Scalve"
Altre informazioni,Altre informazioni
Cod. postale,24020
Prefisso,0346
Fuso orario,UTC+1
Codice ISTAT,016195
Cod. catastale,I530
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona F, 3 666 GG[4]"
Nome abitanti,schilpariesi
Patrono,sant'Antonio di Padova
Giorno festivo,13 giugno
Cartografia,Cartografia
Schilpario,Schilpario
Schilpario – MappaPosizione del comune di Schilpario nella provincia di Bergamo,Schilpario – MappaPosizione del comune di Schilpario nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
