Seriate comune,Seriate comune.1
,
Seriate – VedutaVeduta,Seriate – VedutaVeduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Gabriele Cortesi (FdI) dal 10-6-2024[1]
Territorio,Territorio
Coordinate,45°41′05″N 9°43′04″E
Altitudine,247 m s.l.m.
Superficie,"12,53[2] km²"
Abitanti,25 845[3] (30-11-2025)
Densità,"2 062,65 ab./km²"
Frazioni,"Cassinone, Comonte[4]"
Comuni confinanti,"Albano Sant'Alessandro, Bagnatica, Bergamo, Brusaporto, Calcinate, Cavernago, Gorle, Grassobbio, Orio al Serio, Pedrengo"
Altre informazioni,Altre informazioni
Cod. postale,24068
Prefisso,035
Fuso orario,UTC+1
Codice ISTAT,016198
Cod. catastale,I628
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[5]
Cl. climatica,"zona E, 2 530 GG[6]"
Nome abitanti,seriatesi
Patrono,SS. Redentore
Giorno festivo,ultima domenica di settembre
Cartografia,Cartografia
Seriate,Seriate
Seriate – MappaPosizione del comune di Seriate nella provincia di Bergamo,Seriate – MappaPosizione del comune di Seriate nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
