Costa Valle Imagna comune,Costa Valle Imagna comune.1
,
Costa Valle Imagna – VedutaPanorama,Costa Valle Imagna – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Umberto Mazzoleni (lista civica) dal 5-6-2016
Territorio,Territorio
Coordinate,45°48′N 9°30′E
Altitudine,1 014 m s.l.m.
Superficie,"4,21 km²"
Abitanti,549[1] (30-11-2025)
Densità,"130,4 ab./km²"
Comuni confinanti,"Bedulita, Carenno (LC), Roncola, Sant'Omobono Terme, Torre de' Busi"
Altre informazioni,Altre informazioni
Cod. postale,24030
Prefisso,035
Fuso orario,UTC+1
Codice ISTAT,016085
Cod. catastale,D103
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 509 GG[3]"
Nome abitanti,costesi
Patrono,santa Maria della Visitazione
Giorno festivo,2 luglio
Cartografia,Cartografia
Costa Valle Imagna,Costa Valle Imagna
Costa Valle Imagna – MappaPosizione del comune di Costa Valle Imagna nella provincia di Bergamo,Costa Valle Imagna – MappaPosizione del comune di Costa Valle Imagna nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
