Brembate di Sopra comune,Brembate di Sopra comune.1
,
Brembate di Sopra – VedutaLa parrocchiale dell’Assunta,Brembate di Sopra – VedutaLa parrocchiale dell’Assunta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Tiziano Ravasio (lista civica) dal 12-6-2022
Territorio,Territorio
Coordinate,45°43′03.6″N 9°34′50.33″E
Altitudine,267 m s.l.m.
Superficie,"4,14 km²"
Abitanti,8 071[1] (30-11-2025)
Densità,"1 949,52 ab./km²"
Frazioni,nessuna[2]
Comuni confinanti,"Almenno San Bartolomeo, Barzana, Mapello, Ponte San Pietro, Valbrembo"
Altre informazioni,Altre informazioni
Cod. postale,24030
Prefisso,035
Fuso orario,UTC+1
Codice ISTAT,016038
Cod. catastale,B138
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 449 GG[4]"
Nome abitanti,brembatesi
Patrono,santa Maria Assunta
Giorno festivo,15 agosto
Cartografia,Cartografia
Brembate di Sopra,Brembate di Sopra
Brembate di Sopra – MappaPosizione del comune di Brembate di Sopra nella provincia di Bergamo,Brembate di Sopra – MappaPosizione del comune di Brembate di Sopra nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
