Corna Imagna comune,Corna Imagna comune.1
,
Corna Imagna – VedutaLa parrocchiale dei Santi Simone e Giuda,Corna Imagna – VedutaLa parrocchiale dei Santi Simone e Giuda
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Ludovico Locatelli (lista civica Dire fare cambiare) dal 26-5-2019
Territorio,Territorio
Coordinate,45°50′N 9°33′E
Altitudine,736 m s.l.m.
Superficie,"4,5 km²"
Abitanti,926[1] (30-11-2025)
Densità,"205,78 ab./km²"
Frazioni,"Brancilione, Ca' Fantoni, Buttero, Ca' Andreane, Ca' Meschina, Ca' Nova, Cilipiano, Grumello del Becco, Malisetti, Mafineto, Ca' Berizzi, Regorda, Canito, Butella, Roncobisolo, La Corna, Fenilmascher, Fenilgarello, Feniletti, Siva, Roncaglia, Calcinone, Ca' Gavaggio, Piazzacava"
Comuni confinanti,"Blello, Fuipiano Valle Imagna, Locatello, Rota d'Imagna, Sant'Omobono Terme, Val Brembilla"
Altre informazioni,Altre informazioni
Cod. postale,24030
Prefisso,035
Fuso orario,UTC+1
Codice ISTAT,016082
Cod. catastale,D015
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 115 GG[3]"
Nome abitanti,cornesi
Patrono,santi Simone e Giuda festivo:28 ottobre
Cartografia,Cartografia
Corna Imagna,Corna Imagna
Corna Imagna – MappaPosizione del comune di Corna Imagna nella provincia di Bergamo,Corna Imagna – MappaPosizione del comune di Corna Imagna nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
