Caravaggio comune,Caravaggio comune.1
,
Caravaggio – VedutaVeduta aerea della città nel 2008,Caravaggio – VedutaVeduta aerea della città nel 2008
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Claudio Bolandrini (lista civica) dal 19 giugno 2016[1]
Territorio,Territorio
Coordinate,45°29′52″N 9°38′35″E
Altitudine,111 m s.l.m.
Superficie,"32,81[2] km²"
Abitanti,16 514[3] (30-11-2025)
Densità,"503,32 ab./km²"
Frazioni,"Masano, Vidalengo[4]"
Comuni confinanti,"Bariano, Brignano Gera d'Adda, Calvenzano, Capralba (CR), Fornovo San Giovanni, Misano di Gera d'Adda, Morengo, Mozzanica, Pagazzano, Sergnano (CR), Treviglio"
Altre informazioni,Altre informazioni
Cod. postale,24043
Prefisso,0363
Fuso orario,UTC+1
Codice ISTAT,016053
Cod. catastale,B731
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[5]
Cl. climatica,"zona E, 2 383 GG[6]"
Nome abitanti,caravaggini
Patrono,santi Fermo e Rustico
Giorno festivo,9 agosto
Cartografia,Cartografia
Caravaggio,Caravaggio
Caravaggio – MappaPosizione del comune di Caravaggio nella provincia di Bergamo,Caravaggio – MappaPosizione del comune di Caravaggio nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
