Solza comune,Solza comune.1
,
Solza – VedutaIl castello Colleoni,Solza – VedutaIl castello Colleoni
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Simone Biffi (lista civica Vivere Solza) dal 4-10-2021
Territorio,Territorio
Coordinate,45°40′37.71″N 9°29′20.17″E
Altitudine,254 m s.l.m.
Superficie,"1,23 km²"
Abitanti,2 006[1] (30-11-2025)
Densità,"1 630,89 ab./km²"
Frazioni,nessuna[2]
Comuni confinanti,"Calusco d'Adda, Medolago"
Altre informazioni,Altre informazioni
Cod. postale,24030
Prefisso,035
Fuso orario,UTC+1
Codice ISTAT,016251
Cod. catastale,I813
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 430 GG[4]"
Nome abitanti,solzesi
Patrono,san Giorgio
Giorno festivo,23 aprile
Cartografia,Cartografia
Solza,Solza
Solza – MappaPosizione del comune di Solza nella provincia di Bergamo,Solza – MappaPosizione del comune di Solza nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
