Gaverina Terme comune,Gaverina Terme comune.1
,
Gaverina Terme – VedutaPanorama,Gaverina Terme – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Capoluogo,Gaverina
Sindaco,Alex Amaglio (lista civica Gaverina Terme sostenibile) dal 10-6-2024
Territorio,Territorio
Coordinate del capoluogo,45°46′N 9°53′E
Altitudine,509 m s.l.m.
Superficie,"5,2 km²"
Abitanti,901[1] (30-11-2025)
Densità,"173,27 ab./km²"
Frazioni,"Gaverina (sede comunale), Fonti, Piano, Trate[2]"
Comuni confinanti,"Albino, Bianzano, Casazza, Cene, Spinone al Lago"
Altre informazioni,Altre informazioni
Cod. postale,24060
Prefisso,035
Fuso orario,UTC+1
Codice ISTAT,016110
Cod. catastale,D943
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 920 GG[4]"
Nome abitanti,gaverinesi
Patrono,san Vittore Martire
Giorno festivo,8 maggio
Cartografia,Cartografia
Gaverina,Gaverina
Gaverina Terme – MappaPosizione del comune di Gaverina Terme nella provincia di Bergamo,Gaverina Terme – MappaPosizione del comune di Gaverina Terme nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
